Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Potential_Yield,Yield_Gap,Gap_Trend
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,2.4883846153999998,1.7075150503999996,-0.028511385842826392
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783,2.4883846153999998,1.4279498323999997,-0.028511385842826392
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348,2.4883846153999998,1.5470802673999997,-0.028511385842826392
Wheat,1997,Rabi       ,Assam,84698.0,110054,2051.4,8060708.66,26256.38,1.25952381,1.2713466664000002,0.011822856400000248,-0.0038919316481200567
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335,2.9473214288,0.7138214288000002,-0.02526597494249578
Rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154,2.9473214288,0.8734752748000001,-0.02526597494249578
Rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444,2.9473214288,0.11787698480000008,-0.02526597494249578
Wheat,1997,Rabi       ,Karnataka,250698.0,118512,1266.7,23858928.66,77716.38,0.548333333,1.0787142858,0.5303809528000001,-0.014056544149348503
Rice,1997,Kharif     ,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429,2.5521818184,1.1736103893999998,-0.04611595517529644
Wheat,1997,Rabi       ,Meghalaya,4287.0,6894,3818.2,407993.79,1328.97,1.385,1.6378,0.2527999999999999,-0.00508177570093457
Rice,1997,Autumn     ,West Bengal,423121.0,751970,1852.9,40268425.57,131167.51,1.837222222,3.1652222222,1.3280000002,-0.02538314263621085
Rice,1997,Summer     ,West Bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.843888889,3.1652222222,0.3213333332000001,-0.02538314263621085
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.985555556,3.1652222222,1.1796666662000002,-0.02538314263621085
Wheat,1997,Rabi       ,West Bengal,367374.0,810480,1852.9,34962983.58,113885.94,1.886666667,2.603,0.7163333330000001,-0.02663665735044556
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46,3.5283333335,1.0683333335,-0.026797647981538435
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555,3.5283333335,0.9733333334999998,-0.026797647981538435
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55,3.5283333335,0.9783333335000002,-0.026797647981538435
Rice,1998,Autumn     ,Assam,594979.0,520605,2354.4,58783925.2,172543.91,1.055652174,2.4883846153999998,1.4327324413999998,-0.028511385842826392
Rice,1998,Summer     ,Assam,223913.0,446114,2354.4,22122604.4,64934.77,1.685217391,2.4883846153999998,0.8031672243999999,-0.028511385842826392
Rice,1998,Winter     ,Assam,1635230.0,2288114,2354.4,161560724.0,474216.7,1.395652174,2.4883846153999998,1.0927324413999997,-0.028511385842826392
Wheat,1998,Rabi       ,Assam,89591.0,90509,2354.4,8851590.8,25981.39,0.999545455,1.2713466664000002,0.27180121140000013,-0.0038919316481200567
Rice,1998,Kharif     ,Goa,41000.0,104249,2964.9,4050800.0,11890.0,2.54,2.968,0.42799999999999994,-0.008664310092638022
Rice,1998,Kharif     ,Karnataka,1079193.0,2599170,1260.8,106624268.4,312965.97,2.310740741,2.9473214288,0.6365806878,-0.02526597494249578
Rice,1998,Rabi       ,Karnataka,51782.0,106072,1260.8,5116061.6,15016.78,2.054285714,2.9473214288,0.8930357147999999,-0.02526597494249578
Wheat,1998,Rabi       ,Karnataka,268981.0,219433,1260.8,26575322.8,78004.49,0.848823529,1.0787142858,0.22989075680000004,-0.014056544149348503
Rice,1998,Autumn     ,Kerala,120217.0,235849,3151.5,11877439.6,34862.93,1.856923077,2.6717857145,0.8148626374999999,-0.015183233252785226
Rice,1998,Summer     ,Kerala,57700.0,144872,3151.5,5700760.0,16733.0,2.116153846,2.6717857145,0.5556318684999999,-0.015183233252785226
Rice,1998,Winter     ,Kerala,174714.0,346022,3151.5,17261743.2,50667.06,1.937142857,2.6717857145,0.7346428574999999,-0.015183233252785226
Rice,1998,Kharif     ,Meghalaya,105402.0,149742,6552.7,10413717.6,30566.58,1.51,2.5521818184,1.0421818183999998,-0.04611595517529644
Wheat,1998,Rabi       ,Meghalaya,4287.0,6998,6552.7,423555.6,1243.23,1.605,1.6378,0.03279999999999994,-0.00508177570093457
Rice,1998,Autumn     ,West Bengal,425002.0,740688,2152.5,41990197.6,123250.58,1.751111111,3.1652222222,1.4141111112000002,-0.02538314263621085
Rice,1998,Winter     ,West Bengal,4028620.0,7653780,2152.5,398027656.0,1168299.8,1.781666667,3.1652222222,1.3835555552,-0.02538314263621085
Wheat,1998,Rabi       ,West Bengal,367472.0,778090,2152.5,36306233.6,106566.88,1.870555556,2.603,0.7324444440000002,-0.02663665735044556
Rice,1999,Autumn     ,Assam,557220.0,514156,2201.8,59137758.6,150449.4,1.094782609,2.4883846153999998,1.3936020063999999,-0.028511385842826392
Rice,1999,Summer     ,Assam,294654.0,653783,2201.8,31271629.02,79556.58,1.990434783,2.4883846153999998,0.4979498323999998,-0.028511385842826392
Rice,1999,Winter     ,Assam,1793994.0,2692709,2201.8,190396583.2,484378.38,1.501304348,2.4883846153999998,0.9870802673999999,-0.028511385842826392
Wheat,1999,Rabi       ,Assam,76310.0,97583,2201.8,8098780.3,20603.7,1.256818182,1.2713466664000002,0.014528484400000208,-0.0038919316481200567
Rice,1999,Kharif     ,Goa,40500.0,96281,3879.3,4298265.0,10935.0,2.38,2.968,0.5880000000000001,-0.008664310092638022
Rice,1999,Rabi       ,Goa,16213.0,43642,3879.3,1720685.69,4377.51,2.69,2.968,0.278,-0.008664310092638022
Rice,1999,Autumn     ,Kerala,121525.0,252876,2914.6,12897448.25,32811.75,2.081538462,2.6717857145,0.5902472524999998,-0.015183233252785226
Rice,1999,Summer     ,Kerala,58021.0,144551,2914.6,6157768.73,15665.67,2.292857143,2.6717857145,0.3789285714999999,-0.015183233252785226
Rice,1999,Winter     ,Kerala,170228.0,373259,2914.6,18066297.64,45961.56,2.097142857,2.6717857145,0.5746428574999998,-0.015183233252785226
Rice,1999,Kharif     ,Meghalaya,102482.0,156887,6200.3,10876414.66,27670.14,1.605714286,2.5521818184,0.9464675323999998,-0.04611595517529644
Rice,1999,Rabi       ,Meghalaya,3929.0,13846,6200.3,416984.77,1060.83,1.755714286,2.5521818184,0.7964675323999999,-0.04611595517529644
Rice,1999,Kharif     ,Puducherry,25444.0,59433,1434.5875,2700371.72,6869.88,2.61,3.5283333335,0.9183333335000001,-0.026797647981538435
Rice,1999,Autumn     ,West Bengal,427155.0,827970,2318.1,45333960.15,115331.85,1.868888889,3.1652222222,1.2963333332000002,-0.02538314263621085
Rice,1999,Summer     ,West Bengal,1474338.0,4468400,2318.1,156471491.9,398071.26,2.897222222,3.1652222222,0.26800000020000025,-0.02538314263621085
Rice,1999,Winter     ,West Bengal,4248946.0,8463310,2318.1,450940639.0,1147215.42,1.906666667,3.1652222222,1.2585555552,-0.02538314263621085
Wheat,1999,Rabi       ,West Bengal,364155.0,850778,2318.1,38647770.15,98321.85,2.096666667,2.603,0.5063333330000002,-0.02663665735044556
Rice,2000,Kharif     ,Andhra Pradesh,3003673.0,8233806,935.6,294870578.4,780954.98,2.7,3.606538462,0.9065384619999999,-0.040348145789222745
Rice,2000,Rabi       ,Andhra Pradesh,1239053.0,4224208,935.6,121637833.0,322153.78,2.939090909,3.606538462,0.6674475530000001,-0.040348145789222745
Wheat,2000,Rabi       ,Andhra Pradesh,14261.0,8121,935.6,1400002.37,3707.86,0.581818182,1.2896666668999999,0.7078484848999999,0.0010057755036590808
Rice,2000,Autumn     ,Assam,539665.0,557764,1965.5,52978913.05,140312.9,1.197826087,2.4883846153999998,1.2905585283999998,-0.028511385842826392
Rice,2000,Summer     ,Assam,329255.0,681027,1965.5,32322963.35,85606.3,1.825217391,2.4883846153999998,0.6631672243999998,-0.028511385842826392
Rice,2000,Winter     ,Assam,1777257.0,2759652,1965.5,174473319.7,462086.82,1.581304348,2.4883846153999998,0.9070802673999998,-0.028511385842826392
Wheat,2000,Rabi       ,Assam,70301.0,85695,1965.5,6901449.17,18278.26,1.175909091,1.2713466664000002,0.09543757540000009,-0.0038919316481200567
Rice,2000,Kharif     ,Goa,41000.0,96568,3886.9,4024970.0,10660.0,2.36,2.968,0.6080000000000001,-0.008664310092638022
Rice,2000,Rabi       ,Goa,16207.0,45555,3886.9,1591041.19,4213.82,2.81,2.968,0.15799999999999992,-0.008664310092638022
Rice,2000,Kharif     ,Karnataka,1120549.0,2792657,1213.3,110004295.3,291342.74,2.357407407,2.9473214288,0.5899140217999999,-0.02526597494249578
Rice,2000,Rabi       ,Karnataka,52005.0,106335,1213.3,5105330.85,13521.3,2.064615385,2.9473214288,0.8827060437999998,-0.02526597494249578
Rice,2000,Summer     ,Karnataka,310892.0,947744,1213.3,30520267.64,80831.92,2.751304348,2.9473214288,0.1960170807999999,-0.02526597494249578
Wheat,2000,Rabi       ,Karnataka,266310.0,249880,1213.3,26143652.7,69240.6,0.93375,1.0787142858,0.1449642858000001,-0.014056544149348503
Rice,2000,Autumn     ,Kerala,129752.0,260306,2412.6,12737753.84,33735.52,1.938461538,2.6717857145,0.7333241764999998,-0.015183233252785226
Rice,2000,Summer     ,Kerala,55258.0,154606,2412.6,5424677.86,14367.08,2.23,2.6717857145,0.4417857144999999,-0.015183233252785226
Rice,2000,Winter     ,Kerala,162445.0,336416,2412.6,15947225.65,42235.7,2.042857143,2.6717857145,0.6289285714999999,-0.015183233252785226
Rice,2000,Kharif     ,Meghalaya,102657.0,165907,6258.8,10077837.69,26690.82,1.681428571,2.5521818184,0.8707532473999997,-0.04611595517529644
Rice,2000,Rabi       ,Meghalaya,4003.0,13135,6258.8,392974.51,1040.78,1.744285714,2.5521818184,0.8078961043999997,-0.04611595517529644
Wheat,2000,Rabi       ,Meghalaya,4215.0,6892,6258.8,413786.55,1095.9,1.395,1.6378,0.2427999999999999,-0.00508177570093457
Rice,2000,Kharif     ,Puducherry,42779.0,103606,1434.5875,4199614.43,11122.54,2.605,3.5283333335,0.9233333335,-0.026797647981538435
Rice,2000,Autumn     ,West Bengal,393944.0,683950,1907.7,38673482.48,102425.44,1.648333333,3.1652222222,1.5168888892,-0.02538314263621085
Rice,2000,Summer     ,West Bengal,1401841.0,4541328,1907.7,137618731.0,364478.66,3.021111111,3.1652222222,0.14411111119999997,-0.02538314263621085
Rice,2000,Winter     ,West Bengal,3639538.0,7202760,1907.7,357293445.5,946279.88,1.876111111,3.1652222222,1.2891111112000002,-0.02538314263621085
Wheat,2000,Rabi       ,West Bengal,426000.0,1057610,1907.7,41820420.0,110760.0,2.330555556,2.603,0.272444444,-0.02663665735044556
Rice,2001,Kharif     ,Andhra Pradesh,2426073.0,6500545,928.4,247774835.5,630778.98,2.627272727,3.606538462,0.9792657350000002,-0.040348145789222745
Rice,2001,Rabi       ,Andhra Pradesh,1398674.0,4889246,928.4,142846575.6,363655.24,3.025909091,3.606538462,0.5806293710000001,-0.040348145789222745
Wheat,2001,Rabi       ,Andhra Pradesh,13793.0,9486,928.4,1408679.09,3586.18,0.6275,1.2896666668999999,0.6621666668999999,0.0010057755036590808
Rice,2001,Autumn     ,Assam,495698.0,487719,1824.7,50625636.74,128881.48,1.120434783,2.4883846153999998,1.3679498323999997,-0.028511385842826392
Rice,2001,Summer     ,Assam,325987.0,653036,1824.7,33293052.31,84756.62,1.806521739,2.4883846153999998,0.6818628763999999,-0.028511385842826392
Rice,2001,Winter     ,Assam,1714736.0,2713493,1824.7,175125987.7,445831.36,1.600434783,2.4883846153999998,0.8879498323999997,-0.028511385842826392
Wheat,2001,Rabi       ,Assam,72245.0,85300,1824.7,7378381.85,18783.7,1.185217391,1.2713466664000002,0.08612927540000026,-0.0038919316481200567
Rice,2001,Kharif     ,Goa,32746.0,79071,2530.6,3344348.98,8513.96,2.41,2.968,0.5579999999999998,-0.008664310092638022
Rice,2001,Rabi       ,Goa,16637.0,47452,2530.6,1699136.81,4325.62,2.85,2.968,0.11799999999999988,-0.008664310092638022
Rice,2001,Kharif     ,Karnataka,1087967.0,2393946,1002.9,111114069.7,282871.42,2.154814815,2.9473214288,0.7925066138000001,-0.02526597494249578
Rice,2001,Rabi       ,Karnataka,53480.0,99699,1002.9,5461912.4,13904.8,1.840714286,2.9473214288,1.1066071428,-0.02526597494249578
Rice,2001,Summer     ,Karnataka,276277.0,740400,1002.9,28216170.01,71832.02,2.4368,2.9473214288,0.5105214288000002,-0.02526597494249578
Wheat,2001,Rabi       ,Karnataka,260486.0,198822,1002.9,26603435.18,67726.36,0.777333333,1.0787142858,0.3013809528000001,-0.014056544149348503
Rice,2001,Autumn     ,Kerala,116540.0,235838,2946.7,11902230.2,30300.4,1.886923077,2.6717857145,0.7848626374999998,-0.015183233252785226
Rice,2001,Summer     ,Kerala,43850.0,105032,2946.7,4478400.5,11401.0,2.151428571,2.6717857145,0.5203571435000001,-0.015183233252785226
Rice,2001,Winter     ,Kerala,161978.0,362634,2946.7,16542813.14,42114.28,2.153571429,2.6717857145,0.5182142855,-0.015183233252785226
Rice,2001,Kharif     ,Meghalaya,107761.0,188971,4241.0,11005630.93,28017.86,1.751428571,2.5521818184,0.8007532473999999,-0.04611595517529644
Wheat,2001,Rabi       ,Meghalaya,2753.0,4812,4241.0,281163.89,715.78,1.455,1.6378,0.18279999999999985,-0.00508177570093457
Rice,2001,Kharif     ,Puducherry,26263.0,66868,1434.5875,2682240.19,6828.38,2.415,3.5283333335,1.1133333335,-0.026797647981538435
Rice,2001,Autumn     ,West Bengal,353048.0,731778,1556.6,36056792.24,91792.48,2.094705882,3.1652222222,1.0705163402000002,-0.02538314263621085
Rice,2001,Summer     ,West Bengal,1366273.0,4166145,1556.6,139537461.5,355230.98,2.788823529,3.1652222222,0.3763986932000001,-0.02538314263621085
Rice,2001,Winter     ,West Bengal,3783766.0,8917625,1556.6,386436021.6,983779.16,2.235294118,3.1652222222,0.9299281042,-0.02538314263621085
Wheat,2001,Rabi       ,West Bengal,434004.0,961533,1556.6,44324828.52,112841.04,2.109444444,2.603,0.493555556,-0.02663665735044556
Rice,2002,Kharif     ,Andhra Pradesh,2109301.0,5054013,648.1,199687525.7,527325.25,2.202727273,3.606538462,1.4038111890000002,-0.040348145789222745
Rice,2002,Rabi       ,Andhra Pradesh,712766.0,2272773,648.1,67477557.22,178191.5,2.533636364,3.606538462,1.0729020980000001,-0.040348145789222745
Wheat,2002,Rabi       ,Andhra Pradesh,11044.0,14898,648.1,1045535.48,2761.0,1.09,1.2896666668999999,0.1996666668999998,0.0010057755036590808
Rice,2002,Autumn     ,Assam,464497.0,444884,1973.6,43973930.99,116124.25,1.076521739,2.4883846153999998,1.4118628763999999,-0.028511385842826392
Rice,2002,Summer     ,Assam,327468.0,622358,1973.6,31001395.56,81867.0,1.794347826,2.4883846153999998,0.6940367893999997,-0.028511385842826392
Rice,2002,Winter     ,Assam,1748715.0,2670560,1973.6,165550849.1,437178.75,1.545652174,2.4883846153999998,0.9427324413999998,-0.028511385842826392
Wheat,2002,Rabi       ,Assam,69061.0,77952,1973.6,6538004.87,17265.25,1.152272727,1.2713466664000002,0.11907393940000022,-0.0038919316481200567
Rice,2002,Kharif     ,Goa,33728.0,90072,2516.3,3193029.76,8432.0,2.67,2.968,0.29800000000000004,-0.008664310092638022
Rice,2002,Rabi       ,Goa,16441.0,44695,2516.3,1556469.47,4110.25,2.72,2.968,0.24799999999999978,-0.008664310092638022
Rice,2002,Autumn     ,Kerala,112438.0,233217,2511.2,10644505.46,28109.5,2.130769231,2.6717857145,0.5410164835,-0.015183233252785226
Rice,2002,Summer     ,Kerala,41079.0,111850,2511.2,3888948.93,10269.75,2.212142857,2.6717857145,0.4596428575,-0.015183233252785226
Rice,2002,Winter     ,Kerala,157004.0,343792,2511.2,14863568.68,39251.0,2.123571429,2.6717857145,0.5482142854999998,-0.015183233252785226
Rice,2002,Kharif     ,Tamil Nadu,1516537.0,3577108,315.9,143570557.8,379134.25,2.884642857,4.2939447004,1.4093018434000002,-0.03916288575278614
Rice,2002,Autumn     ,West Bengal,384965.0,796652,1629.1,36444636.55,96241.25,2.092777778,3.1652222222,1.0724444442000003,-0.02538314263621085
Rice,2002,Summer     ,West Bengal,1406078.0,4198595,1629.1,133113404.3,351519.5,2.747777778,3.1652222222,0.41744444420000004,-0.02538314263621085
Rice,2002,Winter     ,West Bengal,4051084.0,9393991,1629.1,383516122.3,1012771.0,2.221666667,3.1652222222,0.9435555552000001,-0.02538314263621085
Wheat,2002,Rabi       ,West Bengal,405350.0,887437,1629.1,38374484.5,101337.5,1.992777778,2.603,0.6102222220000002,-0.02663665735044556
Rice,2003,Kharif     ,Andhra Pradesh,2108904.0,5841539,826.0,208739317.9,506136.96,2.670909091,3.606538462,0.9356293710000001,-0.040348145789222745
Rice,2003,Rabi       ,Andhra Pradesh,865734.0,3111263,826.0,85690351.32,207776.16,2.729090909,3.606538462,0.8774475530000001,-0.040348145789222745
Wheat,2003,Rabi       ,Andhra Pradesh,11928.0,6741,826.0,1180633.44,2862.72,0.481818182,1.2896666668999999,0.8078484848999998,0.0010057755036590808
Rice,2003,Autumn     ,Assam,441143.0,430374,2213.7,43664334.14,105874.32,1.118695652,2.4883846153999998,1.3696889633999998,-0.028511385842826392
